Country Code,Change,Description of Change,Date Issued,Source
DJ,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DJ.
DK,"Local generic term is changed to singular, alphabetical re-ordering by generic term suppression and source list update.",,2011-12-13,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DK.
DM,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DM.
DM,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DM.
DM,Subdivisions added: 10 parishes.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
DO,Subdivisions added: DO-31 San José de Ocoa. DO-32 Santo Domingo.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
DO,"Add región (region) as top-level of subdivisions; add 10 regions DO-33 to DO-42; change subdivision name of DO-03, DO-08 and DO-19; update List Source.",,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DO.
DO,Codes: format changed .,Introduction of new subdivision code elements taken from the Dominican Statistics Code. Correction of alphabetic sorting of subdivision names. Addition of 1 alternative name form.,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
DO,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DO.
DO,Change of subdivision name of DO-07; update List Source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DO.
DO,Assign parent subdivision to DO-01.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DO.
DZ,"Addition of province DZ-49, DZ-50, DZ-51, DZ-52, DZ-53, DZ-54, DZ-55, DZ-56, DZ-57, DZ-58; Update list source.",,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:DZ.
