Country Code,Change,Description of Change,Date Issued,Source
ES,"Modification of remark part 2. (Remark part 2: Remark: In the autonomous communities of Galicia, Catalonia and the Balearics, the respective regional languages are the sole official languages of toponymy. Castilian language forms are given in square brackets for information. For the autonomous communities of Navarra, Valencia and the Basque Country, with the exception of the province names Bizkaia and Gipuzkoa, the regional language has co-official status with Castilian (regional language forms are marked with an asterisk)).",,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ES.
ES,Change of subdivision name of ES-PM; Update List Source; Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ES.
ES,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ES.
ET,Subdivisions added: ET-DD Dire Dawa.,Change of generic name of one subdivision category to administration. Addition of an administration. Update of list sources.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
ET,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
ET,Category change: state -> regional state.,Change of eng subdivision category from state to regional state; Update List Source.,2019-04-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
ET,Deletion of the romanization system for subdivisions in eng; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
ET,Subdivisions added: ET-SI Sidama.,Addition of regional state ET-SI; Update List Source.,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
ET,Subdivisions added: ET-SW Southwest Ethiopia Peoples.,Addition of regional state ET-SW; Update List Source.,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
ET,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
FI,Name change: Satakunda -> Satakunta.,Change of spelling of FI-17; Update List Source.,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FI.
FI,Update Code Source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FI.
FI,Subdivision layout: 6 provinces -> 19 regions.,"Administrative re-organization, deletion of useless information and the region names in English and French, source list and source code update.",2011-12-13 (corrected 2011-12-15),Newsletter II-3 - 'Changes in the list of subdivision names and code elements' - http://www.iso.org/iso/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
FJ,Official name change of long name.,,2011-07-14,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FJ,Official name change of long name.,,2011-06-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FJ,Add provinces FJ-01 to FJ 14; update List Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FJ,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FJ,"Assign parent subdivision to FJ-01, FJ-02, FJ-03, FJ-04, FJ-05, FJ-06, FJ-07, FJ-08, FJ-09, FJ-10, FJ-11, FJ-12, FJ-13, FJ-14.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FJ,Reinstatement of provinces deleted due to a technical glitch.,,2016-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FJ.
FK,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FK.
FM,Change of short name upper case: replace the parentheses with a coma and correct the remark in English of the entry of Micronesia Federate states (removing duplicated text).,,2024-02-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FM.
FM,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FM.
FM,Alignment of the English and French short names upper and lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FM.
FM,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FM.
FO,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FO.
FR,Correction of the Metropolitan region code in FR-79.,,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
FR,"Add Saint Barthélemy, Saint Martin and the Clipperton Island.",,2007-09-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Subdivisions added: FR-CP Clipperton. FR-BL Saint-Barthélemy. FR-MF Saint-Martin.,Addition of administrative subdivisions and of their code elements.,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
FR,"Addition of the country code prefix as the first code element, alphabetical re-ordering.",,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
FR,Category change: FR-YT Mayotte overseas territorial collectivity -> overseas department.,NL II-2 correction for ultramarine administrative organisation change and alphabetical re-ordering.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
FR,"Correction of the OBP entry error as follows: deletion of Clipperton Island, France, Metropolitan in the name field for Territory.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Subdivisions added: FR-GUA Guadeloupe. FR-LRE La Réunion. FR-MAY Mayotte. Category change: FR-GF overseas department -> overseas territorial collectivity. FR-MQ overseas department -> overseas territorial collectivity.,"Change of the delimitation of the regions, reducing their number from 22 to 13 in metropolitan France, change of parent subdivision of metropolitan departments; addition of overseas regions FR-GUA, FR-LRE, FR-MAY; change of subdivision category from overseas department to overseas territorial collectivity for FR-GF, FR-MQ; update List Source.",2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Parent changes: FR-02 FR-PDL -> FR-HDF. FR-60 FR-PDL -> FR-HDF. FR-80 FR-PDL -> FR-HDF.,"Correction of parent subdivision of FR-02, FR-60, FR-80 from FR-PDL to FR-HDF.",2016-12-07,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Category change: FR-COR metropolitan region -> collectivity.,Addition of category name 'collectivity' in eng/fra; Change of category name from metropolitan region to collectivity for FR-COR; Update List Source.,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Category changes: FR-COR collectivity -> metropolitan collectivity with special status. FR-GP overseas department -> overseas region. FR-RE overseas department -> overseas region. FR-YT overseas department -> overseas region. FR-GUA overseas region -> overseas department. FR-LRE overseas region -> overseas department. FR-MAY overseas region -> overseas department. FR-BL overseas territorial collectivity -> overseas collectivity. FR-MF overseas territorial collectivity -> overseas collectivity. FR-PF overseas territorial collectivity -> overseas collectivity. FR-PM overseas territorial collectivity -> overseas collectivity. FR-WF overseas territorial collectivity -> overseas collectivity. FR-NC overseas territorial collectivity -> overseas collectivity with special status. FR-TF overseas territorial collectivity -> overseas territory. Code changes: FR-COR -> FR-20R. FR-GUA -> FR-971. FR-LRE -> FR-974. FR-MAY -> FR-976. Subdivisions added: FR-972 Martinique (parent FR-MQ). FR-973 Guyane (française) (parent FR-GF).,"Change of category name from collectivity to metropolitan collectivity with special status for FR-COR; Change of category name from overseas department to overseas region for FR-GP, FR-RE, FR-YT; Deletion of parent subdivision of FR-GP, FR-RE, FR-YT; Change of category name from overseas region to overseas department for FR-GUA, FR-LRE, FR-MAY; Change of subdivision code from FR-COR to FR-20R, FR-GUA to FR-971, FR-LRE to FR-974, FR-MAY to FR-976; Assign parent subdivision to FR-971, FR-974, FR-976; Change of parent subdivision of FR-972, FR-973; Change of category name from overseas territorial collectivity to overseas collectivity for FR-BL, FR-MF, FR-PF, FR-PM, FR-WF; Addition of category overseas territory with specific status, overseas territory; Change of category name from overseas territorial collectivity to overseas collectivity with special status for FR-NC; Change of category name from overseas territorial collectivity to overseas territory for FR-TF; Update List Source and Code Source.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
FR,Codes added: FR-6AE Alsace. FR-69M Métropole de Lyon. Codes changed: FR-75 Paris (metropolitan department) -> FR-75C Paris (metropolitan collectivity with special status). Codes removed: FR-GF Guyane (française). FR-GP Guadeloupe. FR-MQ Martinique. FR-RE La Réunion. FR-YT Mayotte. Category changes: FR-971 overseas department -> overseas departmental collectivity. FR-972 overseas department -> overseas unique territorial collectivity. FR-973 overseas department -> overseas unique territorial collectivity. FR-974 overseas department -> overseas departmental collectivity. FR-976 overseas department -> overseas departmental collectivity. Parent changes: FR-67 FR-GES -> FR-6AE. FR-68 FR-GES -> FR-6AE.,"Addition of category European collectivity in eng & fra; Addition of European collectivity FR-6AE; Addition of metropolitan collectivity with special status FR-69M; Change of category name from metropolitan department to metropolitan collectivity with special status for FR-75; Change of subdivision code from FR-75 to FR-75C; Addition of category overseas departemental collectivity in eng & fra; Change of category name from overseas department to overseas departemental collectivity for FR-971, FR-974, FR-976; Addition of category overseas unique territorial collectivity in eng & fra; Change of category name from overseas department to overseas unique territorial collectivity for FR-972, FR-973; Deletion of category name overseas department; Deletion of overseas region FR-GF, FR-GP, FR-MQ, FR-RE, FR-YT; Deletion of category name overseas region; Change of parent subdivision of FR-67, FR-68; Deletion of parent subdivision of FR-971, FR-972, FR-973, FR-974, FR-976; Modification of Remark part 2; Update List Source and Code Source.",2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:FR.
GA,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GA.
GA,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GA.
GB,"Various corrections of name forms, i.e., deletion of name adjuncts.",,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.ISO.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
GB,Subdivisions deleted: GB-CHA – Channel Islands. GB-IOM – Isle of Man (see ISO 3166-2:IM). GB-GSY – Guernsey (see ISO 3166-2:GG). GB-JSY – Jersey (see ISO 3166-2:JE).,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.ISO.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
GB,Modification of administrative structure.,,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
GB,Subdivisions added: GB-BDF – Bedford. GB-CBF – Central Bedfordshire. GB-CHE – Cheshire East. GB-CHW – Cheshire West and Chester. Subdivisions deleted: GB-BDF – Bedfordshire. GB-CHS – Cheshire. GB-IOS – Isles of Scilly.,"Update and reorganisation of the subdivision data,. update of the list source.",2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
GB,Status change: WLS – Wales principality -> country.,NL II-2 correction for administrative name changes.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
GB,Add GB-IOS.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,"Deletion of district council areas GB-ANT, GB-ARD, GB-ARM, GB-BLA, GB-BLY, GB-BNB, GB-CKF, GB-CSR, GB-CLR, GB-CKT, GB-CGV, GB-DRY, GB-DOW, GB-DGN, GB-FER, GB-LRN, GB-LMV, GB-LSB, GB-MFT, GB-MYL, GB-NYM, GB-NTA, GB-NDN, GB-OMH, GB-STB; change of subdivision category from district council area to district GB-BFS; addition of districts GB-ANN, GB-AND, GB-ABC, GB-CCG, GB-DRS, GB-FMO, GB-LBC, GB-MEA, GB-MUL, GB-NMD; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,Alignment of the English and French short names upper and lower case with UNTERM; update of the remarks in French.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,"Change of subdivision name of GB-ABC, GB-DRS; modification of remark part 2; update list source. (Remark part 2: BS 6879 gives alternative name forms in Welsh (cy) for some of the Welsh unitary authorities (together with alternative code elements). Since this part of ISO 3166 does not allow for duplicate coding of identical subdivisions, such alternative names in Welsh and code elements are shown for information purposes only in square brackets after the English name of the subdivision. BS 6879 has been superseded but remains the original source of the codes. Included for completeness: EAW England and Wales; GBN Great Britain; UKM United Kingdom).",,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,"Deletion of GB-BMH, GB-POL; addition of GB-BCP; correction of spelling for GB-BFS, GB-DRS, GB-DUR, GB-MUL, GB-RCT, GB-SCB; modification of remark, part 2; update list source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,"Addition of subdivision categories country and province in eng & fra; modification of remark part 2; addition of country GB-ENG, GB-WLS, GB-SCT; addition of province GB-NIR; addition of parent subdivisions. (Remark part 2: BS 6879 gives alternative name forms in Welsh (cy) for some of the Welsh unitary authorities (together with alternative code elements). Since this part of ISO 3166 does not allow for duplicate coding of identical subdivisions, such alternative names in Welsh and code elements are shown for information purposes only in square brackets after the English name of the subdivision. BS 6879 has been superseded but remains the original source of the codes. Included for completeness: EAW England and Wales; GBN Great Britain; UKM United Kingdom).",,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,Correction of parent subdivision of GB-PEM.,,2022-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GB,"Deletion of two-tier county GB-NTH; addition of unitary authorities GB-NNH, GB-WNH; change of category name from two-tier county to unitary authority for GB-BKM; update list source.",,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GB.
GD,Addition of local variation of GD-10; update list source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GD.
GD,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GD.
GD,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GD.
GD,"Subdivisions added: 6 parishes, 1 dependency.",Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
GE,"Subdivision layout: 2 autonomous republics, 13 cities, 63 rayons -> 2 autonomous republics, 10 regions.",New subdivision layout. City level cancelled. Spelling of autonomous republics' names changed. One generic subdivision name changed.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
GE,Addition of diacritical signs.,,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
GE,Introduction of third subdivision category.,,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
GE,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GE.
GE,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GE.
GF,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-973)).,,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GF.
GF,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-973)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GF.
GG,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GG.
GG,Typographical correction.,,2009-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GG.
GG,"Addition of remark and administrative language French (fr, fra); Addition of the islands mentioned in the Remarks column (Column 7).",,2008-09-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GG.
GG,Addition of a new entry (in accordance with ISO 3166-1 Newsletter V-11).,,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
GH,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GH.
GH,"Deletion of region GH-BA; Addition of regions GH-AF, GH-BE, GH-BO, GH-NE, GH-OT, GH-SV, GH-WN; Update List Source.",,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GH.
GH,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GH.
GH,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GH.
GI,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GI.
GL,"Correction of administrative language from Inuktitut (iu, iku) to Greenlandic or Kalaallit (kl, kal).",,2008-09-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GL.
GL,Subdivisions added: GL-KU Kommune Kujalleq. GL-QA Qaasuitsup Kommunia. GL-QE Qeqqata Kommunia. GL-SM Kommuneqarfik Sermersooq.,Addition and update of the administrative structure and of the list and code sources.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
GL,Subdivision deleted: GL-QA Qaasuitsup Kommunia. Subdivisions added: GL-AV Avannaata Kommunia. GL-QT Kommune Qeqertalik.,"Deletion of municipality GL-QA; Addition of municipality GL-AV, GL-QT; Update List Source.",2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GL.
GM,Change of the full name.,,2017-03-17,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GM.
GM,Change of the full name.,,2016-03-31,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GM.
GM,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GM.
GM,Alignment of the English short name lower case and the English full name with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GM.
GM,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GM.
GN,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GN.
GN,Change Subdivision category special zone to governorate (GN-C); change governorates to administrative regions; update List Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GN.
GN,"Addition of the country code prefix as the first code element, deletion of the generic term in subdivision names.",,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
GN,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
GN,Codes: (to correct duplicate use). Koundara: GN-KD -> GN-KN.,One governorate changed into a city (new subdivision level). One code corrected.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
GP,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-971)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GP.
GP,Delete Saint Barthélemy and Saint Martin.,,2007-09-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GP.
GP,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-971)).,,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GP.
GQ,Addition of province GQ-DJ; Update List Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GQ.
GQ,Add the local short name and align with ISO 3166-2.,,2012-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GQ.
GQ,"Language adjustment, typo correction, first level prefix addition and source list update.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
GR,Codes: format changed .,"Addition of the country code prefix as the first code element, reallocation of 3166-2 alpha-2 codes to avoid duplication, addition of names in administrative languages.",2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
GR,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,Typographical correction of subdivision name of GR-J.,,2020-03-02,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,"Grammar correction of GR-J, GR-K, GR-L.",,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,"Change of spelling of GR-M; deletion of subdivision category department; deletion of departments GR-01, GR-11, GR-12, GR-31, GR-A1, GR-64, GR-94, GR-85, GR-81, GR-52, GR-71, GR-05, GR-04, GR-63, GR-07, GR-06, GR-51, GR-14, GR-53, GR-33, GR-91, GR-41, GR-56, GR-55, GR-23, GR-22, GR-57, GR-15, GR-58, GR-82, GR-16, GR-42, GR-92, GR-24, GR-83, GR-43, GR-07, GR-59, GR-61, GR-34, GR-93, GR-73, GR-84, GR-62, GR-32, GR-54, GR-44, GR-03, GR-72, GR-21; update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,Change of the local short name.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GR,"Correct spelling of GR-01, GR-81, GR-23, GR-93, GR-69; correct diacritic marks; update List Source.",,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GR.
GS,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GS.
GT,Spelling correction in GT-QZ.,,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
GT,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GT.
GT,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GT.
GT,"Change of subdivision code from GT-AV to GT-16, GT-BV to GT-15, GT-CM to GT-04, GT-CQ to GT-20, GT-ES to GT-05, GT-GU to GT-01, GT-HU to GT-13, GT-IZ to GT-18, GT-JA to GT-21, GT-JU to GT-22, GT-PE to GT-17, GT-PR to GT-02, GT-QC to GT-14, GT-QZ to GT-09, GT-RE to GT-11, GT-SA to GT-03, GT-SM to GT-12, GT-SO to GT-07, GT-SR to GT-06, GT-SU to GT-10, GT-TO to GT-08, GT-ZA to GT-19; Update Code Source.",,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GT.
GU,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of the United States (US-GU)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GU.
GW,Change of subdivision name of GW-BL; Addition of local variation of GW-BS; Update List Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GW.
GW,Addition of the country code prefix as the first code element.,,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
GY,Change of the full name.,,2018-11-06,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GY.
GY,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GY.
GY,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:GY.
HK,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of China (CN-HK)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HK.
HK,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of China (CN-HK)).,,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HK.
HM,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HM.
HN,Comment taken into account and source list update.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
HR,Correct typographic error for the language code for Croatian.,,2010-12-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HR.
HR,Subdivisions added: HR-21 Grad Zagreb.,Addition of one city subdivision. Three spelling corrections.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
HR,Alphabetical re-ordering.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
HT,Change of spelling of HT-GA; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HT.
HT,Language adjustment.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
