Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-1,2010-02-19,Addition of the country code prefix as the first code element,
Newsletter II-3,2011-12-15,Removal of duplicate code,Codes: Cork IE-C → IE-CO
