Effective date of change,Short description of change,Code/Subdivision change
2017-11-23,"Change of subdivision name of TJ-RA; change of spelling of category name in eng, tgk; update List Source; modification of the English remark part 2",Spelling change:TJ-RA Nohiyahoi Tobei Jumhurí → nohiyahoi tobei jumhurí
2016-11-15,"Modification of the remark part 2; addition of category name Districts Under Republic Administration in eng, fra, tgk; addition of Districts Under Republic Administration TJ-RA; update list source",Subdivision added:TJ-RA Nohiyahoi Tobei Jumhurí
2015-02-12,Removed the reference to Dushanbe in remark part 2; correct spelling of DU,
2014-11-03,Add 1 capital territory TJ-DU,Subdivision added: TJ-DU
