Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Partial reorganization of subdivision layout. Two new provinces. Two name corrections (IR-17 and IR-18). New reference for the list source,Subdivisions added: IR-27 Golestān IR-28 Qazvīn
Newsletter I-8,2007-04-17,Modification of the administrative structure,Subdivisions added: IR-29 Khorāsān-e Janūbī IR-30 Khorāsān-e Razavī IR-31 Khorāsān-e Shemālī Subdivisions deleted: IR-09 Khorāsān
