Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Correction of one code and four spelling errors. Notification of the rayons belonging to the autonomous republic,Codes: Naxçıvan: AZ-MM → AZ-NX
Newsletter II-3,2011-12-15,"Alphabetical re-ordering, name change of administrative places, first level prefix addition and source list update",Subdivisions added: AZ-KAN Kǝngǝrli AZ-NV Naxçıvan (municipality) Subdivisions deleted: AZ-SS Şuşa Codes: AZ-AB Əli Bayramlı → AZ-SR Şirvan AZ-DAV Dəvəçi → AZ-SBN Şabran AZ-XAN Xanlar → AZ-GYG Göygöl
