Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Correction of spelling mistakes of names of 2 provinces,
Newsletter I-8,2007-04-17,Modification of the administrative structure,Subdivisions added: IT-CI Carbonia-Iglesias IT-VS Medio Campidano IT-OG Ogliastra IT-OT Olbia-Tempio
Newsletter II-1,2010-02-19,"Addition of the country code prefix as the first code element, administrative update",Subdivisions added: IT-BT Barletta-Andria-Trani IT-FM Fermo IT-MB Monza e Brianza Codes: IT-FO Forlì → IT-FC Forlì-Cesena
Newsletter II-2,2010-06-30,Corrections from Newsletters I-1 and I-8,Codes: (to correct inconsistencies between newsletters) Medio Campidano: IT-MA → IT-VS Olbia-Tempio IT-OL → IT-OT Pesaro e Urbino IT-PS → IT-PU
Online BrowsingPlatform (OBP),2019-04-09,"Addition of province IT-SD; Addition of category names free communal consortia and metropolitan cities in eng,fra and ita; Change of category name from province to free communal consortia for IT-AG, IT-CL, IT-EN, IT-RG, IT-SR, IT-TP; Change of category name from province to metropolitan city for IT-BA, IT-BO, IT-CA, IT-CT, IT-FI, IT-GE, IT-ME, IT-MI, IT-NA, IT-PA, IT-RC, IT-RM, IT-TO, IT-VE; Deletion of provinces IT-CI, IT-GO, IT-OG, IT-OT, IT-PN, IT-TS, IT-UD, IT-VS; Update List Source","Subdivisions deleted:8 provinces (see below)Subdivisions added:IT-SD Sud SardegnaCategory changes:IT-AG, IT-CL, IT-EN, IT-RG, IT-SR, IT-TP:province → free communal consortiaIT-BA, IT-BO, IT-CA, IT-CT, IT-FI, IT-GE, IT-ME, IT-MI, IT-NA, IT-PA, IT-RC, IT-RM, IT-TO, IT-VE:province → metropolitan city"
Online BrowsingPlatform (OBP),2019-11-22,"Change of spelling of IT-36; Deletion of province IT-AO; Change of spelling of category name in eng from free communal consortia to free municipal consortium; Change of spelling of category name in ita from libero consorzion communale to libero consorzio comunale ; Change of spelling of category name in ita from città metropolitan to città metropolitana; Addition of category name autonomous region and autonomous province; Change of category name from region to autonomous region for IT-23, IT-32, IT-36, IT-82, IT-88; Change of category name from province to autonomous province for IT-BZ, IT-TN; Update List Source","Name changes:IT-36 Friuli-Venezia Giulia → Friuli Venezia Giuliafree communal consortia → free municipal consortiumSubdivisions deleted:IT-AO AostaCategory changes:IT-23, IT-32, IT-36, IT-82, IT-88:region → autonomous regionIT-BZ, IT-TN:province → autonomous province"
Online BrowsingPlatform (OBP),2020-11-24,"Correction of subdivision code from IT-SD to IT-SU; Addition of category decentralized regional entity; addition of decentralized regional entity IT-GO, IT-PN, IT-TS, IT-UD; Update List Source",Code changes:IT-SD → IT-SU Sud SardegnaSubdivisions added: IT-GO Gorizia IT-PN Pordenone IT-TS TriesteIT-UD Udine
