Effective date of change,Short description of change (en)
2014-11-03,Update List Source
2015-11-27,Update List Source
2017-11-23,"Update List Source; change of spelling of CY-02, CY-04 (tur)"
2018-04-20,Update Code Source; update List Source
2018-11-26,Correction of the romanization system label
