Effective date of change,Short description of change (en)
2017-11-23,"Change of spelling of KP-10, KP-13 (McCune-Reischauer, 1939); addition of metropolitan city KP-14; update List Source."
2014-12-18,"Deletion of the space between ""de"" and the parenthesis in the short French name lower case."
2010-02-19,"Administrative update, replacement of alphabetical characters with numeric characters in second code element"
