Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: OM-BU Al Buraymī Codes: OM-JA Al Janūbīyah → OM-ZU Z̧ufār
Online BrowsingPlatform (OBP),2015-11-27,"Change of subdivision category from region to governate for OM-BA, OM-DA, OM-SH, OM-WU, OM-ZA; change of subdivision code from OM-BA to OM-BJ, from OM-SH to OM-SJ; change of spelling of OM-BJ, OM-SJ; addition of governorates OM-BS, OM-SS; addition of local variations of OM-MA, OM-ZU; update List Source",(TBD)
