Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-3,2011-12-15,"Administrative readjustment, local generic administrative term addition and source list and source code update.",Codes: PG-NSA North Solomons (province) → PG-NSB Bougainville (autonomous region)
Online BrowsingPlatform (OBP),2013-05-10,UN notification of full name,
Online BrowsingPlatform (OBP),2014-03-03,"Add ""the"" before the English full name",
Online BrowsingPlatform (OBP),2014-11-03,Add two provinces PG-HLA and PG-JWK; change subdivision name of PG-SAN; update List Source,Subdivisions added: PG-HLA HelaPG-JWK JiwakaName changed: PG-SAN Sandaun [West Sepik] → West Sepik
