Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Subdivision layout partially revised: Three new municipalities. New reference for list source,Subdivisions added: CV-CS Calheta de São Miguel CV-MO Mosteiros CV-SF São Filipe
Newsletter II-2,2010-06-30,"Addition of the country code prefix as the first code element, update of the administrative structure and of the list source",Subdivisions added: CV-RB Ribeira Brava CV-RS Ribeira Grande de Santiago CV-CF Santa Catarina do Fogo CV-SL São Lourenço dos Órgãos CV-SS São Salvador do Mundo CV-TS Tarrafal de São Nicolau Subdivisions deleted: CV-SN São Nicolau Codes: CV-CS Calheta de São Miguel → CV-SM São Miguel
Newsletter II-3,2011-12-15,Correction of NL II-2 for toponyms and typographical errors and source list update.,Codes: São Lourenço dos Órgãos CV-SL → CV-SO
