Effective date of change,Short description of change (en)
2014-11-03,Update List Source
2015-11-27,Update List Source
2016-11-15,"Change of spelling of BT-13, BT-45; update list source"
2018-11-26,Correction of the romanization system label
2020-11-24,Change of spelling of BT-43; Update List Source
