Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,New list source. One division added. 31 regions cancelled. Allocation of districts to divisions instead of regions. Correction of one spelling error,Subdivisions added: BD-6 Sylhet bibhag Subdivisions deleted: 21 regions (see below)
Newsletter II-3,2011-12-15,"Country name romanization adjustment, first level prefix addition, deletion of generic terms, addition of administrative division and source list update",Subdivisions added: BD-F Rangpur (division) Codes: Barisal (division) : BD-1 → BD-A Chittagong (division) : BD-2 → BD-B Dhaka (division) : BD-3 → BD-C Khulna (division) : BD-4 → BD-D Rajshahi (division) : BD-5 → BD-E Sylhet (division) : BD-6 → BD-G
