Effective date of change,Short description of change,Code/Subdivision change
2016-11-15,Addition of city KZ-BAY; update List Source.,Subdivisions added: KZ-BAY
2018-11-26,Correction of the romanization system label; Addition of city KZ-SHY; Change of subdivision name of KZ-YUZ; Update List Source,"Subdivision added: KZ-SHYName change:KZ-YUZ Ongtüstik Qazaqstan oblysy (kk), Yuzhno-Kazakhstankaya oblast' (ru BGN/PCGN), Južno-Kazahstankaja oblast' (ru GOST) → Türkistan oblysy (kk), Turkestankaya oblast' (ru BGN/PCGN), Turkestanskaja oblast' (ru GOST)"
2020-11-24,Deletion of city KZ-BAY; Change of subdivision name of KZ‐AST; Correction of the Code Source; Update List Source,Subdivision deleted: KZ-BAY BayqongyrName change:KZ-AST Astana → Nur-Sultan
