Effective date of change,Short description of change (en)
2015-11-27,Deletion of region IS-0
2020-11-24,"Addition of category municipality; Addition of municipality IS-AKH, IS-AKN, IS-AKU, IS-ARN, IS-ASA, IS-BFJ, IS-BLA, IS-BLO, IS-BOG, IS-BOL, IS-DAB, IS-DAV, IS-DJU, IS-EOM, IS-EYF, IS-FJD, IS-FJL, IS-FLA, IS-FLD, IS-FLR, IS-GAR, IS-GOG, IS-GRN, IS-GRU, IS-GRY, IS-HAF, IS-HEL, IS-HRG, IS-HRU, IS-HUT, IS-HUV, IS-HVA, IS-HVE, IS-ISA, IS-KAL, IS-KJO, IS-KOP, IS-LAN, IS-MOS, IS-MYR, IS-NOR, IS-RGE, IS-RGY, IS-RHH, IS-RHN, IS-RKV, IS-SBH, IS-SBT, IS-SDN, IS-SDV, IS-SEL, IS-SEY, IS-SFA, IS-SHF, IS-SKF, IS-SKG, IS-SKO, IS-SKU, IS-SNF, IS-SOG, IS-SOL, IS-SSF, IS-SSS, IS-STR, IS-STY, IS-SVG, IS-TAL, IS-THG, IS-TJO, IS-VEM, IS-VER, IS-VOP; Update List Source; Update Code Source"
2021-11-25,"Deletion of municipality IS-BFJ, IS-DJU, IS-FLD, IS-SEY; Addition of municipality IS-MUL; Update List Source"
