Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Correction of spelling mistakes and language code elements,
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: BY-HM Horad Minsk
Online BrowsingPlatform (OBP),2015-11-27,"Change romanization system from ""GOST 1983"" to ""Belarusian Lacinka"" of bel; change romanization system of BY-HM* of bel and rus",
Online BrowsingPlatform (OBP),2018-11-26,Correction of the romanization system label,
Online BrowsingPlatform (OBP),2020-11-24,Correction of spelling for BY-HR of BGN/PCGN 1979,
