Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,Addition and update of the administrative structure and of the list and code sources,Subdivisions added:GL-KU Kommune KujalleqGL-QA Qaasuitsup KommuniaGL-QE Qeqqata KommuniaGL-SM Kommuneqarfik Sermersooq
Online BrowsingPlatform (OBP),2018-11-26,"Deletion of municipality GL-QA; Addition of municipality GL-AV, GL-QT; Update List Source",Subdivision deleted:GL-QA Qaasuitsup KommuniaSubdivisions added:GL-AV Avannaata KommuniaGL-QT Kommune Qeqertalik
