Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Addition of one new entity. Precise specification and correction of Pinyin names. List source updated,Subdivisions added: CN-92 Macau
Newsletter I-6,2004-03-08,Deletion of one name form in CN-15,
