Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Addition of one province,Subdivisions added: EC-D Orellana
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: EC-SE Santa Elena EC-SD Santo Domingo de los Tsáchilas
