Edition/Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],Codes: Western: KE-900 → KE-800
Newsletter II-2,2010-06-30,Update of the list source,
Online BrowsingPlatform (OBP),2014-10-30,Delete provinces; add 47 counties; update List Source,"Deleted codes:KE-110, KE-200, KE-300, KE-400, KE-500, KE-600, KE-700, KE-800Added codes:KE-01 through KE-47"
Online BrowsingPlatform (OBP),2016-11-15,Update Code Source,
