Edition/Newsletter,Date issued,Description of change,Code/Subdivision change
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],Subdivision added: EG-LX Al Uqşur
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: EG-SU As Sādis min Uktūbar EG-HU Ḩulwān
