Edition/Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,One governorate changed into a city (new subdivision level). One code corrected,Codes: (to correct duplicate use) Koundara: GN-KD → GN-KN
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],
Newsletter II-1,2010-02-19,"Addition of the country code prefix as the first code element, deletion of the generic term in subdivision names",
