Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-5,2003-09-05,Revision of subdivision layout. Revision of header information,Subdivision layout: 13 municipalities (see below) → 34 municipalities
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivision layout: 34 municipalities (see below) → 22 popularates
