Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,"Subdivisions added: 6 parishes, 1 dependency"
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: AG-11 Redonda
Online BrowsingPlatform (OBP),2010-06-30,Update of the administrative structure and of the list source,
Online BrowsingPlatform (OBP),2014-10-29,Change spelling of AG-04,
