Edition/Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Introduction of new subdivision code elements taken from the Dominican Statistics Code. Correction of alphabetic sorting of subdivision names. Addition of 1 alternative name form,Codes: format changed (see below)
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],Subdivisions added: DO-31 San José de Ocoa DO-32 Santo Domingo
