Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,Subdivisions added: 14 districts
Newsletter II-3,2011-12-15,Local generic administrative term addition.,
Online BrowsingPlatform (OBP),2017-11-23,"Change of subdivision name of NR-05; addition of local variation of NR-05, update List Source",Name changed:NR-05 Baiti → Baitsi
