Source,Date issued,Description of change,Code/Subdivision change
Newsletter I-2,2002-05-21,New subdivision layout at economic region level. List source updated. Addition of one reference in the code source. Two name spellings corrected. One code corrected,Subdivision layout: 7 economic regions (see below) → 16 economic regions (now called regions) Code changes: Jerada: MA-IRA → MA-JRA
Newsletter I-6,2004-03-08,Change of spelling for Laâyoune,
Newsletter II-1,2010-02-19,"Addition of the country code prefix as the first code element, addition of names in administrative languages",Subdivisions added:MA-AOU AousserdMA-FAH Fahs-AnjraMA-MED MédiounaMA-MMD Marrakech-MedinaMA-MMN Marrakech-MenaraMA-MOH MohammadiaMA-MOU Moulay YacoubMA-NOU NouaceurMA-RAB RabatMA-SAL SaléMA-SKH Skhirate-TémaraMA-SYB Sidi Youssef Ben AliMA-TAI Taourirt MA-ZAG ZagoraSubdivisions deleted: MA-MAR Marrakech MA-RBA Rabat-Salé Code changes: MA-BAH Aït Baha → MA-CHT Chtouka-Ait Baha MA-MEL Aït Melloul → MA-INE Inezgane-Ait Melloul
Online Browsing Platform (OBP),2014-11-03,Change spelling of MA-14; update List Source,
Online Browsing Platform (OBP),2018-04-20,"Modification of remark part 2; deletion of regions MA-01 to MA-16; addition of new regions MA-01 to MA-12; change of spelling of MA-AGD, MA-BES, MA-ESM, MA-FAH, MA-FES, MA-JRA, MA-KES, MA-OUD; change of category name from prefecture to province for MA-AOU, MA-FAH, MA-TET; addition of prefectures MA-MAR, MA-MDF; deletion of prefectures, MA-MMD, MA-MMN, MA-SYB; addition of provinces MA-BRR, MA-DRI, MA-FQH, MA-GUF, MA-MID, MA-OUZ, MA-REH, MA-SIF, MA-SIL, MA-SIB, MA-TAF, MA-TIN, MA-YUS; change of parent subdivision for MA-AGD, MA-AOU, MA-FES, MA-INE, MA-MEK, MA-MOH, MA-OUJ, MA-RAB, MA-SAL, MA-SKH, MA-ASZ, MA-AZI, MA-BEM, MA-BER, MA-BES, MA-BOD, MA-BOM, MA-CHI, MA-CHT, MA-ERR, MA-ESI, MA-ESM, MA-FIG, MA-GUE, MA-HAJ, MA-HAO, MA-HOC, MA-IFR, MA-JDI, MA-JRA, MA-KEN, MA-KES, MA-KHE, MA-KHN, MA-KHO, MA-LAA, MA-MED, MA-MOU, MA-NAD, MA-NOU, MA-OUA, MA-OUD, MA-SAF, MA-SEF, MA-SET, MA-SIK, MA-TAI, MA-TAR, MA-TAT, MA-TIZ, MA-TNT, MA-ZAG; addition of (EH) to MA-LAA; addition of (EH-partial) to MA-ASZ, MA-TNT; update List Source",Subdivisions deleted:MA-01 - MA-16MA-MDFMA-MMDMA-MMNMA-SYBSubdivisions added:MA-01 - MA-12MA-BRRMA-DRIMA-FQHMA-GUFMA-MARMA-MIDMA-OUZMA-REHMA-SIBMA-SIFMA-SILMA-TAFMA-TINMA-YUSCategory changes:MA-AOU prefecture → provinceMA-FAH prefecture → provinceMA-TET prefecture → provinceParent changes:MA-AGD MA-13 → MA-09MA-AOU MA-16 → MA-12MA-ASZ MA-14 → MA-10MA-AZI MA-12 → MA-05MA-BEM MA-12 → MA-05MA-BER MA-04 → MA-02MA-BES MA-09 → MA-06MA-BOD MA-15 → MA-11MA-BOM MA-05 → MA-03MA-CHI MA-11 → MA-07MA-CHT MA-13 → MA-06MA-ERR MA-06 → MA-08MA-ESI MA-11 → MA-07MA-ESM MA-14 → MA-11MA-FES MA-05 → MA-03MA-FIG MA-04 → MA-02MA-GUE MA-14 → MA-10MA-HAJ MA-06 → MA-03MA-HAO MA-11 → MA-07MA-HOC MA-03 → MA-01MA-IFR MA-06 → MA-03MA-INE MA-13 → MA-09MA-JDI MA-10 → MA-06MA-JRA MA-04 → MA-02MA-KEN MA-02 → MA-04MA-KES MA-11 → MA-07MA-KHE MA-07 → MA-04MA-KHN MA-06 → MA-05MA-KHO MA-09 → MA-05MA-LAA MA-15 → MA-11MA-MED MA-08 → MA-06MA-MEK MA-06 → MA-03MA-MOH MA-08 → MA-06MA-MOU MA-05 → MA-03MA-NAD MA-04 → MA-02MA-NOU MA-08 → MA-04MA-OUA MA-13 → MA-08MA-OUD MA-16 → MA-12MA-OUJ MA-04 → MA-02MA-RAB MA-07 → MA-04MA-SAF MA-10 → MA-07MA-SAL MA-07 → MA-04MA-SEF MA-05 → MA-03MA-SET MA-09 → MA-08MA-SIK MA-02 → MA-06MA-SKH MA-07 → MA-04MA-TAI MA-04 → MA-02MA-TAR MA-13 → MA-09MA-TAT MA-14 → MA-09MA-TIZ MA-13 → MA-09MA-TNT MA-14 → MA-10MA-ZAG MA-13 → MA-08
Online Browsing Platform (OBP),2018-11-26,Change of spelling of MA-05; Change of (EH) to (EH-partial) for MA-ESM; Correction of the romanization system label,Spelling change:MA-05 Béni-Mellal-Khénifra → Béni Mellal-KhénifraLocation change:MA-ESM Es-Semara (EH) → Es-Semara (EH-partial)
Online Browsing Platform (OBP),2019-04-09,"Correction of parent subdivision of MA-CAS, MA-SET, MA-SIK; Typographical correction of MA-03",Parent changes:MA-CAS MA-08 → MA-06MA-SET MA-08 → MA-06MA-SIK MA-06 → MA-04Spelling change:MA-03 Fès- Meknès → Fès-Meknès
Online Browsing Platform (OBP),2020-11-24,"Change of spelling of MA-KHE, MA-KHN, MA-TAR; Deletion of an asterisk of the local variation of MA-CAS; Update List Source",Spelling change:MA-KHE Khemisset → KhémissetMA-KHN Khenifra → KhénifraMA-TAR Taroudant → Taroudannt
