Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: CL-AP Arica y Parinacota CL-LR Los Ríos
Online BrowsingPlatform (OBP),2014-10-29,Change spelling of CL-AI and CL-BI; update List Source,"Spelling changes:CL-AI, CL-BI"
Online BrowsingPlatform (OBP),2016-11-15,"Change of spelling of CL-AR, CL-AI; addition of local variation of CL-AI, CL-LI; update list source","Spelling changes:CL-AI, CL-AR"
Online BrowsingPlatform (OBP),2018-11-26,Addition of region CL-NB; Update List Source,Subdivisions added:CL-NB Ñuble
