Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Introduction of a completely new subdivision layout,Subdivision layout: 10 provinces (see below) → 6 provinces
Newsletter II-3,2011-12-15,"Country name romanization adjustment, language adjustment, alphabetical re-ordering and source list update.",
