Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,"Addition of the country code prefix as the first code element, addition of names in administrative languages, update of the administrative structure and of the list source",Subdivisions added: NZ-CIT Chatham Islands Territory
Online BrowsingPlatform (OBP),2014-11-03,Change subdivision category of NZ-AUK,(TBD)
Online BrowsingPlatform (OBP),2015-11-27,"Deletion of all unitary authorities; deletion of islands NZ-N, NZ-S; Change of subdivision name of NZ-GIS, NZ-MBH, NZ-NSN, NZ-TAS, change of subdivision category from regional council to region; update List Source",(TBD)
