Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-5,2003-09-05,Addition of one new governorate. List source updated. Code source updated,Subdivisions added: TN-14 Manouba
Newsletter I-6,2004-03-08,Adjustment of name form in TN-14. List source updated,
Newsletter II-3,2011-12-15,"Toponym evolution, alphabetical re-ordering and source list update.",
