Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-5,2003-09-05,Addition of one new region. One spelling correction. List source updated. Code source updated,Subdivision added: TZ-26 Manyara (sw)
Online BrowsingPlatform (OBP),2014-11-03,Add 4 regions TZ-27 to TZ-30; update List Source,Subdivisions added: TZ-27 Geita (sw)TZ-28 Katavi (sw)TZ-29 Njombe (sw)TZ-30 Simiyu (sw)
Online BrowsingPlatform (OBP),2018-11-26,Addition of region TZ-31; Update List Source,"Subdivision added: TZ-31 Songwe (sw), Songwe (en)"
Online BrowsingPlatform (OBP),2019-02-14,Modification of the English and French short name lower case,
