Effective date of change,Short description of change (en)
2020-11-24,Change of subdivision name of NA-KA; Change of local variation of NA-KA; Addition of local variation of NA-KA; Update List Source
2016-11-15,Addition of local variation of NA-KA; update list source
2014-11-03,Delete 1 region NA-OK; add two regions NA-KE and NA-KW; change subdivision name of NA-CA
