Newsletter,Date issued,Description of change in newsletter
Newsletter II-3,2011-12-15,"Addition of local generic administrative term, update of the official languages according to ISO 3166-2 and source list update."
Online Browsing Platform (OBP),2020-11-24,Change of spelling of LS-B; Addition of local variation of LS-B; Update List Source
