Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Addition of one autonomous municipality,Subdivisions added: KH-24 Krong Pailin
Online BrowsingPlatform (OBP),2014-11-03,Update List Source,
Online BrowsingPlatform (OBP),2015-11-27,"Change of subdivision category from autonomous municipalities to provinces for KH-18, KH-23, KH-24; addition of province KH-25, update List Source","Category changes:KH-18, KH-23, KH-24autonomous municipality → provinceSubdivision added:KH-25"
Online BrowsingPlatform (OBP),2016-11-15,Change of spelling of KH-25,
Online BrowsingPlatform (OBP),2018-11-26,"Change of subdivision name of KH-18, KH-23, KH24; Correction of the romanization system label; Addition of local variation of KH-01, KH-02, KH-03, KH-05, KH-06, KH-08, KH-09, KH-10, KH-11, KH-14, KH-15, KH-16, KH-17, KH-18, KH-19, KH-20, KH-21, KH-22, KH-23","Name changes:KH-18, KH-23, KH-24Local variations added:KH-01, KH-02, KH-03, KH-05, KH-06, KH-08, KH-09, KH-10, KH-11, KH-14, KH-15, KH-16, KH-17, KH-18, KH-19, KH-20, KH-21, KH-22, KH-23"
Online BrowsingPlatform (OBP),2020-11-24,"Correction of spelling of KH-22, KH-1, KH-18","Name changes:KH-1, KH-18, KH-22"
Online BrowsingPlatform (OBP),2021-11-25,Change of spelling of KH-1,Name changes:KH-1
