Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Modification of the administrative structure,Subdivision layout: 14 prefectures (see below) → 18 regions
Newsletter II-2,2010-06-30,Update of the administrative structure and languages and update of the list source,Subdivisions added: TD-BG Bahr el Gazel TD-BO Borkou TD-EN Ennedi TD-SI Sila TD-TI Tibesti Subdivisions deleted: TD-BET Borkou-Ennedi-Tibesti
Online BrowsingPlatform (OBP),2014-11-03,Add two regions TD-EE and TD-EO; correct spelling of TD-BA; delete TD-EN; update List Source,"Subdivisions added:TD-EE Ennedi-Est (fr)TD-EO Ennedi-Ouest (fr)Subdivision deleted:TD-EN Innīdī (ar), Ennedi (fr)Spelling change:TD-BA Al Baṭḩah (ar) → Al Baţḩah"
Online BrowsingPlatform (OBP),2020-11-24,"Change of subdivision category region to province; Modification of spelling for TD-BA, TD-LO, TD-LR, TD-TA, TD-WF in ara; Addition of local variation for TD-BG in fra; Addition of subdivision name of TD-EE, TD-OE in ara; Update List Source",Spelling changes:TD-BA Al Baţḩah (ar) → Al Baţḩā’TD-LO Lūqūn al Gharbī (ar) → Lūghūn al GharbīTD-LR Lūqūn ash Sharqī (ar) → Lūghūn ash SharqīTD-TA Tānjilī (ar) → TānjīlīTD-WF Wādī Fīrā (ar) → Wādī Fīrā’
