Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-3,2002-08-20,Insertion of a new entry between PUERTO RICO and PORTUGAL; in accordance with ISO 3166-1 Newsletter V-2,New entry (no codes)
Newsletter II-3,2011-12-15,Administrative division taken into account.,Subdivisions added: 16 governorates
Online BrowsingPlatform (OBP),2013-02-06,UN notification of full name[1][2],
Online BrowsingPlatform (OBP),2015-11-27,"Addition of romanization system for ara; change of spelling of category name in ara; change of spelling of PS-QQA, PS-JRH, PS-RBH; update List Source",
