Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: HU-ER Érd
Online BrowsingPlatform (OBP),2021-11-25,Change of name of HU-CS; Update List Source,Subdivision renamed: HU-CS Csongrád → Csongrád-Csanád
