Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,New subdivision layout. City level cancelled. Spelling of autonomous republics' names changed. One generic subdivision name changed,"Subdivision layout: 2 autonomous republics, 13 cities, 63 rayons (see below) → 2 autonomous republics, 10 regions"
Newsletter I-4,2002-12-10,Introduction of third subdivision category,
Newsletter I-9,2007-11-28,Addition of diacritical signs,
