Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Duplicate assignment of VN-24 corrected. Correction of 1 subdivision name. Correction of alphabetic sorting of subdivision names,Codes: (to correct duplicate use) Quảng Ninh: VN-24 → VN-13
Newsletter I-2,2002-05-21,Spelling correction in VN-65,
Newsletter I-7,2005-09-13,Addition of 3 provinces. Update of list source,Subdivisions added: VN-72 Đắk Nông VN-71 Điện Biên VN-73 Hậu Giang
Newsletter II-3,2011-12-15,"Administrative adjustment update, typo corrections and source list update.",Subdivision layout: 5 provinces → 5 municipalities
Online BrowsingPlatform (OBP),2013-02-06,Correct spelling error in French long name,
Online BrowsingPlatform (OBP),2014-11-03,"Delete subdivision VN-15; change spelling for all the provinces except for VN-28, VN-30, VN-41 and VN-44; update List Source",Subdivision deleted:VN-15 Ha Tay(Merged into VN-HN in 2008)
Online BrowsingPlatform (OBP),2020-11-24,"Change of spelling of VN-CT, VN-DN, VN-HN, VN-HP, VN-SG; Update List Source",Subdivision renamed:VN-CT Can Tho → Cần ThơVN-DN Da Nang → Đà NẵngVN-HN Ha Noi → Hà NộiVN-HP Hai Phong → Hải PhòngVN-SG Ho Chi Minh → Hồ Chí Minh
