Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,One new province added. One new reference for the list source. One code source cancelled. Information on romanization system updated. Origin of names in brackets given,Subdivisions added: LA-XN Xaisômboun
Newsletter I-4,2002-12-10,"Error correction: Generic name of one subdivision changed to ""special zone""",
