Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivision layout: 21 districts (see below) → 32 districts (mistakenly listed as 31 districts in newsletter)
Newsletter II-3,2011-12-15,"Correction of NL II-2 for toponyms and typographical errors, one deletion and source list update.",Subdivisions deleted: BS-GT Green Turtle Cay
Online BrowsingPlatform (OBP),2018-11-26,Addition of island BS-NP; Addition of Remark; Update List Source,Subdivision added: BS-NP New Providence
