Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Addition of 6 new states,Subdivisions added: NG-BY Bayelsa NG-EB Ebonyi NG-EK Ekiti NG-GO Gombe NG-NA Nassarawa NG-ZA Zamfara
Newsletter II-2,2010-06-30,"Consistency between ISO 3166-1 and ISO 3166-2, addition of names in administrative languages",
