Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Error correction: Duplicate use of one code element corrected. Subdivision categories in header re-sorted,Codes: (to correct duplicate use) Port Louis (city): MU-PL → MU-PU
Online Browsing Platform (OBP),2020-11-24,"Deletion of city MU-BR, MU-CU, MU-PU, MU-QB, MU-VP; Update List Source; Correction of the Code Source","Deleted:MU-BR (Beau Bassin-Rose Hill),MU-CU (Curepipe),MU-PU (Port Louis),MU-QB (Quatre Bornes),MU-VP (Vacoas-Phoenix)"
