Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,Subdivisions added: 7 parishes
Online Browsing Platform (OBP),2014-11-03,Update List Source,
Online Browsing Platform (OBP),2015-11-27,Update List Source,
