Effective date of change,Short description of change (en)
2020-11-24,"Correction of spelling for SI-065, SI-116, SI-169, SI-182, SI-204, SI-210; Deletion of asterisk from SI-212; Update List Source"
2016-11-15,Change of subdivision category from commune to municipality; addition of municipality SI-213
2010-06-30,Update of the administrative structure and languages and update of the list source
2014-11-03,Add 1 commune SI-212; update List Source
