Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-7,2005-09-13,"Change of generic term for administrative divisions. Addition of new region ""Arta"". New list source and code source",Subdivisions added: DJ-AR Arta
Newsletter II-3,2011-12-15,Language adjustment and source list update.,
Online BrowsingPlatform (OBP),2014-11-03,Update List Source,
Online BrowsingPlatform (OBP),2015-11-27,Add romanization system for Arabic; typographical correction of DJ-AS; update List Source,
Online BrowsingPlatform (OBP),2016-11-15,Change of spelling of DJ-OB in ara,
