Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,"Subdivisions added: 2 states, 14 parishes"
Newsletter II-1,2010-02-19,Addition of the country code prefix as the first code element,
