Date issued,Description of change in newsletter,Code/Subdivision change
2014-10-31,"Addition of 7 city municipalities, 44 district municipalities, and 9 municipalities",
2021-11-25,"Change of spelling of LT-05, LT-14, LT-39; Assign parent subdivision to LT-01 through LT-60; Update List Source",Subdivisions renamed:  LT-05 Birštono → Birštonas LT-14 Kalvarijos → Kalvarija LT-39 Rietavo → Rietavas
