Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Addition of 1 new territory,Subdivisions added: CA-NU Nunavut
Newsletter I-2,2002-05-21,Correction of name form of CA-NF,Codes: CA-NF Newfoundland → CA-NL Newfoundland and Labrador
Newsletter I-4,2002-12-10,Change of code element of Newfoundland and Labrador,Codes: CA-NF Newfoundland → CA-NL Newfoundland and Labrador
Online BrowsingPlatform (OBP),2014-10-29,Change spelling of CA-YT; update List Source,Name change:CA-YT Yukon Territory → Yukon
