Newsletter,Date issued,Description of change in newsletter
Newsletter I-6,2004-03-08,Change of name of CO-DC
Online BrowsingPlatform (OBP),2016-11-15,"Addition of local variation of CO-DC, CO-SAP, CO-VAC; update list source"
