Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,Subdivisions added: 16 states
Online BrowsingPlatform (OBP),2016-11-15,"Change of spelling of PW-050 in eng, pau; update list source",Name changed:PW-050 Hatobohei → Hatohobei
