Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Addition of 1 new province. Correction of 2 spelling errors,Subdivisions added: TR-80 Osmaniye
Newsletter I-2,2002-05-21,Addition of one province. Update of list source information,Subdivisions added: TR-81 Düzce
Newsletter II-3,2011-12-15,Toponym evolution and source list update.,
