Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-9,2007-11-28,Modification of administrative structure,Subdivisions deleted: SD-10 Gharb Kurdufān
Newsletter II-3,2011-12-15,Administrative adjustment and update,Subdivision layout: 25 states (see below) → 17 states Subdivisions deleted: 10 states (SD-14 – SD-23) seceded to create South Sudan (SS) Subdivisions added: SD-DE Sharq Dārfūr SD-DC Zalingei
Online Browsing Platform (OBP),2015-11-27,"Additions of state SD-GK; change spelling of SD-NR, SD-NO, SD-DN, SD-KN, SD-DC; update List Source","Subdivision added:SD-GK Gharb Kurdufān (ar), West Kordofan (en)Spelling changes:SD-DC Zalingei → Wasaţ Dārfūr ZālinjaySD-DN ?  → Shamāl DārfūrSD-KN Shamāl Kurdufān → Shiamāl KurdufānSD-NO ? → Ash ShamālīyahSD-NR An Nīl → Nahr an Nīl"
Online Browsing Platform (OBP),2018-11-26,Correction of the romanization system label,
Online Browsing Platform (OBP),2020-11-24,"Typographical correction of subdivision name of SD-KN, SD-DC; Addition of local variation of SD-DC",Spelling changes:SD-DC Wasaţ Dārfūr Zālinjay → Wasaţ DārfūrSD-KN Shiamāl Kurdufān → Shamāl Kurdufān
