Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-6,2004-03-08,Addition of 2 provinces. Update of list source,Subdivisions added: AF-KHO Khowst AF-NUR Nūrestān
Newsletter I-7,2005-09-13,Addition of 2 provinces. Update of list source,Subdivisions added: AF-DAY Dāykondī AF-PAN Panjshīr
Newsletter II-3,2011-12-15,"Language corrections, administrative name corrections, alphabetical re-ordering and source list update",Codes: AF-LOW Lowgar → AF-LOG Lōgar AF-ORU Orūzgān → AF-URU Uruzgān
