Effective date of change,Short description of change (en)
2019-11-22,"Deletion of region GH-BA; Addition of regions GH-AF, GH-BE, GH-BO, GH-NE, GH-OT, GH-SV, GH-WN; Update List Source"
2015-11-27,Update List Source
2014-11-03,Update List Source
