Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,One spelling correction. Correction of header information,
Newsletter II-2,2010-06-30,Update of the administrative structure and update of the list source,Subdivisions added: TM-S Aşgabat
