Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of a new country (in accordance with ISO 3166-1 Newsletter V-12),"Subdivisions added: 1 city, 2 autonomous republics, 29 districts"
Newsletter II-1,2010-02-19,"Addition of the country code prefix as the first code element, administrative update",
