Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Correction of spelling mistake of subdivision category in header,
Newsletter I-4,2002-12-10,Addition of one department. Subdivision categories in header re-sorted,Subdivisions added: RO-IF Ilfov
