Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-1,2000-06-21,Introduction of a completely new subdivision layout,Subdivision layout: 49 provinces (see below) → 16 provinces
Newsletter II-3,2011-12-15,Alphabetical re-ordering and source list update.,
Online BrowsingPlatform (OBP),2018-11-26,"Change of category name from province to voivodship in eng and from région to voïvodie in fra; Change of subdivision code from PL-DS to PL-02, PL-KP to PL-04, PL-LB to PL-08, PL-LD to PL-10, PL-LU to PL-06, PL-MA to PL-12, PL-MZ to PL-14, PL-OP to PL-16, PL-PD to PL-20, PL-PK to PL-18, PL-PM to PL-22, PL-SK to PL-26, PL-SL to PL-24, PL-WN to PL-28, PL-WP to PL-30 and PL-ZP to PL-32; Update List Source; Update Code Source",Category change:province  → voivodshipCode changes:DS → 02KP → 04LB → 08LD → 10LU → 06MA → 12MZ → 14OP → 16PD → 20PK → 18PM → 22SK → 26SL → 24WN → 28WP → 30ZP → 32
