Newsletter,Date issued,Description of change in newsletter
Newsletter II-1,2010-02-19,Addition of the country code prefix as the first code element
Online Browsing Platform (OBP),2020-11-24,Change of subdivision name of GW-BL; Addition of local variation of GW-BS; Update List Source
