Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-3,2011-12-15,Alphabetical re-ordering.,
Online BrowsingPlatform (OBP),2018-11-26,Deletion of counties NO-16 and NO-17; Addition of county NO-23; Update List Source,Subdivisions deleted:NO-16 Sør-TrøndelagNO-17 Nord-TrøndelagSubdivisions added:NO-23 Trøndelag
Online BrowsingPlatform (OBP),2019-04-09,Change of subdivision code from NO-23 to NO-50,Codes:Trøndelag: NO-23 → NO-50
Online BrowsingPlatform (OBP),2020-11-24,"Deletion of county NO-01, NO-02, NO-04, NO-05, NO-06, NO-07, NO-08, NO-09, NO-10, NO-12, NO-14, NO-19, NO-20; Addition of county NO-30, NO-34, NO-38, NO-42, NO-46, NO-54; Addition of county NO-50 in sma; Update List Source",Subdivisions deleted:NO-01 ØstfoldNO-02 AkershusNO-04 HedmarkNO-05 OpplandNO-06 BuskerudNO-07 VestfoldNO-08 TelemarkNO-09 Aust-AgderNO-10 Vest-AgderNO-12 HordalandNO-14 Sogn og FjordaneNO-19 TromsNO-20 FinnmarkSubdivisions added:NO-30 VikenNO-34 InnlandetNO-38 Vestfold og TelemarkNO-42 AgderNO-46 VestlandNO-54 Troms og Finnmark
