Edition/Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Addition of two governorates,Subdivisions added: YE-DA Aḑ Ḑāli' YE-AM 'Amrān
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],Subdivisions added: YE-SA Şan‘ā' [city]
Newsletter II-2,2010-06-30,Update of the administrative structure and its alphabetical order and update of the list source,Subdivisions added: YE-RA Raymah
Online BrowsingPlatform (OBP),2014-11-17,Change spelling for YE-SA; update List Source,Spelling change:YE-SA Şan‘ā’ [city] → Amānat al ‘Āşimah [city]
Online BrowsingPlatform (OBP),2015-11-27,"Change of subdivision name of YE-DA, YE-AD, YE-BA, YE-AM, YE-MA; addition of governorate YE-SU; addition of romanisation system of YE-RA; update List Source",Subdivision added:YE-SU Arkhabīl SuquţráName changes:YE-ADYE-AMYE-BAYE-DAYE-MA
Online BrowsingPlatform (OBP),2016-11-15,Change of spelling of YE-AB; update list source,Spelling change:YE-AB Abyān → Abyan
